-- dump date   	20080125_165742
-- class       	Genbank::Feature
-- table       	feature_names
-- id	names
NP_414588.1	NP_414588	alternate
NP_414589.1	kefC	primary
NP_414589.1	b0047	alternate
NP_414589.1	944773	alternate
NP_414589.1	16128041	alternate
NP_414589.1	NP_414589.1	alternate
NP_414589.1	ECK0048	alternate
NP_414589.1	JW0046	alternate
NP_414589.1	trkC	alternate
NP_414589.1	16128041	alternate
NP_414589.1	944773	alternate
NP_414589.1	b0047	alternate
NP_414589.1	NP_414589	alternate
NP_414590.1	folA	primary
NP_414590.1	b0048	alternate
NP_414590.1	944790	alternate
NP_414590.1	16128042	alternate
NP_414590.1	NP_414590.1	alternate
NP_414590.1	ECK0049	alternate
NP_414590.1	tmrA	alternate
NP_414590.1	JW0047	alternate
NP_414590.1	16128042	alternate
NP_414590.1	944790	alternate
NP_414590.1	b0048	alternate
NP_414590.1	NP_414590	alternate
NP_414591.1	apaH	primary
NP_414591.1	b0049	alternate
NP_414591.1	944770	alternate
NP_414591.1	16128043	alternate
NP_414591.1	NP_414591.1	alternate
NP_414591.1	ECK0050	alternate
NP_414591.1	cfcB	alternate
NP_414591.1	JW0048	alternate
NP_414591.1	16128043	alternate
NP_414591.1	944770	alternate
NP_414591.1	b0049	alternate
NP_414591.1	NP_414591	alternate
NP_414592.1	apaG	primary
NP_414592.1	b0050	alternate
NP_414592.1	944772	alternate
NP_414592.1	16128044	alternate
NP_414592.1	NP_414592.1	alternate
NP_414592.1	ECK0051	alternate
NP_414592.1	JW0049	alternate
NP_414592.1	temP	alternate
NP_414592.1	corD	alternate
NP_414592.1	16128044	alternate
NP_414592.1	944772	alternate
NP_414592.1	b0050	alternate
NP_414592.1	NP_414592	alternate
NP_414593.1	ksgA	primary
NP_414593.1	b0051	alternate
NP_414593.1	944939	alternate
NP_414593.1	16128045	alternate
NP_414593.1	NP_414593.1	alternate
NP_414593.1	ECK0052	alternate
NP_414593.1	rsmA	alternate
NP_414593.1	JW0050	alternate
NP_414593.1	16128045	alternate
NP_414593.1	944939	alternate
NP_414593.1	b0051	alternate
NP_414593.1	NP_414593	alternate
NP_414594.1	pdxA	primary
NP_414594.1	b0052	alternate
NP_414594.1	944919	alternate
NP_414594.1	16128046	alternate
NP_414594.1	NP_414594.1	alternate
NP_414594.1	ECK0053	alternate
NP_414594.1	JW0051	alternate
NP_414594.1	16128046	alternate
NP_414594.1	944919	alternate
NP_414594.1	b0052	alternate
NP_414594.1	NP_414594	alternate
NP_414595.1	surA	primary
NP_414595.1	b0053	alternate
NP_414595.1	944812	alternate
NP_414595.1	16128047	alternate
NP_414595.1	NP_414595.1	alternate
NP_414595.1	ECK0054	alternate
NP_414595.1	JW0052	alternate
NP_414595.1	16128047	alternate
NP_414595.1	944812	alternate
NP_414595.1	b0053	alternate
NP_414595.1	NP_414595	alternate
NP_414596.1	imp	primary
NP_414596.1	b0054	alternate
NP_414596.1	945011	alternate
NP_414596.1	16128048	alternate
NP_414596.1	NP_414596.1	alternate
NP_414596.1	ECK0055	alternate
NP_414596.1	ostA	alternate
NP_414596.1	JW0053	alternate
NP_414596.1	yabG	alternate
NP_414596.1	16128048	alternate
NP_414596.1	945011	alternate
NP_414596.1	b0054	alternate
NP_414596.1	NP_414596	alternate
NP_414597.1	djlA	primary
NP_414597.1	b0055	alternate
NP_414597.1	948992	alternate
NP_414597.1	16128049	alternate
NP_414597.1	NP_414597.1	alternate
NP_414597.1	ECK0056	alternate
NP_414597.1	yabH	alternate
NP_414597.1	JW0054	alternate
NP_414597.1	16128049	alternate
NP_414597.1	948992	alternate
NP_414597.1	b0055	alternate
NP_414597.1	NP_414597	alternate
b4659	yabP	primary
b4659	b4659	alternate
b4659	944776	alternate
b4659	ECK0057	alternate
b4659	JW0055	alternate
b4659	944776	alternate
b4659	b4659	alternate
NP_414600.1	rluA	primary
NP_414600.1	b0058	alternate
NP_414600.1	946262	alternate
NP_414600.1	16128052	alternate
NP_414600.1	NP_414600.1	alternate
NP_414600.1	ECK0059	alternate
NP_414600.1	yabO	alternate
NP_414600.1	JW0057	alternate
NP_414600.1	16128052	alternate
NP_414600.1	946262	alternate
NP_414600.1	b0058	alternate
NP_414600.1	NP_414600	alternate
NP_414601.1	hepA	primary
NP_414601.1	b0059	alternate
NP_414601.1	948523	alternate
NP_414601.1	16128053	alternate
NP_414601.1	NP_414601.1	alternate
NP_414601.1	ECK0060	alternate
NP_414601.1	JW0058	alternate
NP_414601.1	rapA	alternate
NP_414601.1	yabA	alternate
NP_414601.1	16128053	alternate
NP_414601.1	948523	alternate
NP_414601.1	b0059	alternate
NP_414601.1	NP_414601	alternate
NP_414602.1	polB	primary
NP_414602.1	b0060	alternate
NP_414602.1	944779	alternate
NP_414602.1	16128054	alternate
NP_414602.1	NP_414602.1	alternate
NP_414602.1	ECK0061	alternate
NP_414602.1	dinA	alternate
NP_414602.1	JW0059	alternate
NP_414602.1	16128054	alternate
NP_414602.1	944779	alternate
NP_414602.1	b0060	alternate
NP_414602.1	NP_414602	alternate
NP_414603.1	araD	primary
NP_414603.1	b0061	alternate
NP_414603.1	945294	alternate
NP_414603.1	16128055	alternate
NP_414603.1	NP_414603.1	alternate
NP_414603.1	ECK0062	alternate
NP_414603.1	JW0060	alternate
NP_414603.1	16128055	alternate
NP_414603.1	945294	alternate
NP_414603.1	b0061	alternate
NP_414603.1	NP_414603	alternate
NP_414604.1	araA	primary
NP_414604.1	b0062	alternate
NP_414604.1	947511	alternate
NP_414604.1	16128056	alternate
NP_414604.1	NP_414604.1	alternate
NP_414604.1	ECK0063	alternate
NP_414604.1	JW0061	alternate
NP_414604.1	16128056	alternate
NP_414604.1	947511	alternate
NP_414604.1	b0062	alternate
NP_414604.1	NP_414604	alternate
NP_414605.1	araB	primary
NP_414605.1	b0063	alternate
NP_414605.1	946017	alternate
NP_414605.1	16128057	alternate
NP_414605.1	NP_414605.1	alternate
NP_414605.1	ECK0064	alternate
NP_414605.1	JW0062	alternate
NP_414605.1	16128057	alternate
NP_414605.1	946017	alternate
NP_414605.1	b0063	alternate
NP_414605.1	NP_414605	alternate
NP_414606.1	araC	primary
NP_414606.1	b0064	alternate
NP_414606.1	944780	alternate
NP_414606.1	16128058	alternate
NP_414606.1	NP_414606.1	alternate
NP_414606.1	ECK0065	alternate
NP_414606.1	JW0063	alternate
NP_414606.1	16128058	alternate
NP_414606.1	944780	alternate
NP_414606.1	b0064	alternate
NP_414606.1	NP_414606	alternate
NP_414607.1	yabI	primary
NP_414607.1	b0065	alternate
NP_414607.1	944783	alternate
NP_414607.1	16128059	alternate
NP_414607.1	NP_414607.1	alternate
NP_414607.1	ECK0066	alternate
NP_414607.1	JW5005	alternate
NP_414607.1	16128059	alternate
NP_414607.1	944783	alternate
NP_414607.1	b0065	alternate
NP_414607.1	NP_414607	alternate
NP_414608.1	thiQ	primary
NP_414608.1	b0066	alternate
NP_414608.1	944785	alternate
NP_414608.1	16128060	alternate
NP_414608.1	NP_414608.1	alternate
NP_414608.1	ECK0067	alternate
NP_414608.1	sfuC	alternate
NP_414608.1	JW0065	alternate
NP_414608.1	yabJ	alternate
NP_414608.1	16128060	alternate
NP_414608.1	944785	alternate
NP_414608.1	b0066	alternate
NP_414608.1	NP_414608	alternate
NP_414609.1	thiP	primary
NP_414609.1	b0067	alternate
NP_414609.1	944784	alternate
NP_414609.1	16128061	alternate
NP_414609.1	NP_414609.1	alternate
NP_414609.1	ECK0068	alternate
NP_414609.1	JW0066	alternate
NP_414609.1	sfuB	alternate
NP_414609.1	yabK	alternate
NP_414609.1	16128061	alternate
NP_414609.1	944784	alternate
NP_414609.1	b0067	alternate
NP_414609.1	NP_414609	alternate
NP_414610.1	tbpA	primary
NP_414610.1	b0068	alternate
NP_414610.1	946306	alternate
